brand_name,model_name,battery_type,resolution,os,video_4K,ram(GB),storage(GB),popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size
27,1,0,1080x2280,63,0,4,128,6.492239835020471,8.403128235128264,3978.0,1,5.0,5.15,64,10
2,1,1,1440x3200,166,0,8,256,5.869296913133774,8.797095076549056,6499.0,1,3.0,6.53,256,23
103,1,0,720x1520,63,0,3,64,6.786716950605081,8.941152882160566,4574.0,167,1.0,5.8,64,54
34,1,0,720x1440,5,0,1,16,6.860663671448287,8.585785982881848,5150.0,1,13.0,6.3,64,1
38,2,0,1440x2960,32,1,6,64,6.131226489483141,6.4967749901858625,499.0,2,5.0,3.4,8,27
60,1,1,1080x2460,68,1,8,128,7.010311867307229,9.65534665470488,10064.0,1,46.0,5.5,64,7
16,1,0,1170x2532,4,1,4,128,6.98933526597456,8.562357743370612,4960.0,2,13.0,6.3,128,7
58,1,1,1440x3216,166,1,8,128,5.572154032177765,8.480944058741116,4740.0,1,3.0,6.53,128,10
103,1,1,720x1600,139,0,3,64,6.960347729101308,9.592468614719909,13134.0,1,11.0,6.7,128,36
60,1,1,1080x2400,68,1,8,128,7.103322062526113,9.856160068128911,13134.0,2,59.5,6.7,128,5
103,2,1,720x1600,139,1,4,64,5.056245805348308,8.358900612421644,4116.0,2,6.0,6.22,16,23
60,1,1,1080x2400,68,1,8,128,6.726233402358747,9.603530449208735,8505.0,1,31.0,4.7,256,7
103,1,1,720x1560,139,0,4,64,6.871091294610546,9.7603097828598,13134.0,1,10.0,6.5,128,36
39,1,0,720x1520,193,0,2,32,1.9459101490553132,8.157657015196472,4574.0,167,1.0,5.2,16,3
60,1,1,1080x2408,68,0,4,64,6.748759547491679,8.738735461363474,4200.0,1,3.0,4.0,16,3
103,1,1,1080x2340,139,1,6,128,6.634633357861686,8.159946655578548,4574.0,167,1.0,5.6,32,54
60,1,1,1080x2400,166,0,8,64,6.453624998892692,9.856160068128911,13134.0,2,27.0,6.1,256,5
60,1,1,1080x2400,68,1,8,128,6.56244409369372,9.856160068128911,13134.0,1,21.0,5.8,256,3
38,1,1,1080x1920,11,1,6,64,6.824373670043086,7.07326971745971,959.0,3,59.5,3.4,32,6
6,1,1,720x1600,166,0,4,32,4.276666119016055,7.928406026180535,2222.0,3,8.0,5.5,16,54
34,2,0,1080x2340,139,1,6,64,4.6443908991413725,8.711443319075466,5910.0,2,20.0,6.21,64,13
58,1,1,1080x2400,166,0,8,128,5.849324779946859,8.187299270155147,3377.0,1,4.0,5.9,32,88
38,1,0,720x1280,32,0,5,16,4.07753744390572,6.212606095751519,4574.0,167,1.0,3.4,8,27
27,1,0,1080x1920,14,1,4,32,6.07993319509559,8.549660381553739,4897.0,1,7.0,6.21,64,23
16,1,1,1080x2340,193,1,8,64,6.226536669287466,8.545974992841689,4982.0,1,9.0,6.41,64,4
103,1,0,1440x3200,193,1,8,128,6.984716320118266,9.856160068128911,13134.0,1,59.5,6.7,256,12
58,1,1,1080x2400,166,1,8,128,6.914730892718563,8.177234885510194,3480.0,2,3.0,6.22,32,74
14,3,1,1080x2340,139,1,8,128,4.804021044733257,5.937536205082426,4574.0,167,1.0,3.4,32,6
103,2,1,1080x2340,139,0,6,128,4.882801922586371,8.358900612421644,4116.0,2,6.0,6.22,16,23
9,1,1,1080x2400,166,1,8,256,6.8885724595653635,9.856160068128911,13134.0,1,14.0,6.56,256,2
8,1,1,1080x2400,166,0,8,128,6.919683849847411,9.856160068128911,13134.0,1,20.0,6.67,128,74
38,1,0,720x1440,45,0,4,32,6.411818267709897,8.083637203141548,2989.0,1,37.0,3.4,4,4
14,1,1,1440x3120,139,1,6,128,6.803505257608338,5.968707559985366,345.0,1,19.0,3.4,16,18
33,1,1,1080x2412,166,1,8,128,5.886104031450156,7.842278779117352,2280.0,5,39.0,5.0,8,74
24,1,0,720x1280,45,0,3,16,5.950642552587727,6.726233402358747,719.0,2,26.0,3.4,8,13
103,1,1,1080x2340,193,1,8,256,7.081708586105575,9.552439604462528,12049.0,1,4.0,6.7,128,36
7,1,1,1080x2340,193,0,6,64,2.5649493574615367,8.318498320504338,4574.0,167,1.0,5.5,64,88
58,1,0,720x1520,139,0,3,32,6.9440872082295275,9.109303827798412,8699.0,1,5.0,6.67,64,1
60,1,0,720x1600,166,0,6,32,6.993932975223189,9.856160068128911,13134.0,1,59.5,6.1,256,5
34,2,1,1080x2244,63,0,4,128,6.306275286948016,8.179199798423086,2629.0,2,47.0,5.5,16,7
24,1,1,1080x2400,166,1,8,128,6.349138991379798,8.343791731996841,3519.0,3,23.0,6.3,64,5
14,1,1,1080x2340,139,0,8,128,6.161207321695077,9.856160068128911,13134.0,3,4.0,6.7,512,1
33,1,0,540x960,2,0,1,8,6.897704943128636,6.095824562432225,399.0,1,24.0,3.4,64,4
19,2,0,720x1440,139,0,2,16,4.564348191467836,8.988321188323683,4574.0,167,1.0,5.7,128,20
20,1,1,1080x2340,139,1,6,64,6.53813982376767,7.332369205929062,1368.0,1,45.0,5.0,16,13
8,1,1,720x1600,193,0,2,32,6.90975328164481,9.856160068128911,13134.0,1,5.0,6.59,256,7
34,1,0,720x1520,63,0,3,32,6.778784897685177,9.253016646256619,9949.0,1,30.0,6.3,128,3
60,1,1,720x1600,166,0,4,64,7.020190708311925,9.856160068128911,13134.0,1,59.5,6.5,256,4
13,1,0,720x1440,45,0,2,16,7.057036981697891,9.856160068128911,13134.0,1,23.0,6.78,128,2
3,1,0,720x1600,166,1,8,128,1.6094379124341003,5.786897381366708,222.0,1,14.0,3.4,32,18
5,1,0,720x1520,139,0,2,16,6.61472560020376,6.693323668269949,749.0,3,22.0,3.4,64,2
58,1,0,720x1440,45,0,3,32,7.001245622069476,9.53575166123797,13134.0,1,31.0,6.67,128,2
28,1,1,1344x2772,193,1,8,256,6.008813185442595,9.856160068128911,13134.0,1,10.0,6.58,512,13
14,1,1,1080x2220,63,1,8,64,7.0431599159883405,8.567315800819449,4407.0,2,59.5,6.5,64,74
39,1,1,1080x2400,166,0,8,128,6.879355804460439,9.856160068128911,13134.0,1,19.0,6.2,128,2
34,1,1,1080x2340,139,1,8,128,6.930494765951626,7.908387159290043,2560.0,1,25.0,5.5,32,7
60,1,1,720x1612,68,0,6,64,6.787844982309579,8.986071187374463,4949.0,1,11.0,4.0,32,3
23,1,1,720x1600,166,0,4,128,4.219507705176107,8.996032669324372,5649.0,1,6.0,6.18,64,5
58,1,1,1080x2400,166,1,8,64,5.170483995038151,8.208219383496834,3539.0,1,4.0,6.26,64,88
19,1,1,720x1520,139,0,3,32,6.937314081223682,8.625329850020815,5566.0,1,2.0,6.1,64,54
103,1,0,720x1560,139,0,3,32,5.783825182329737,8.414274137408396,4574.0,167,1.0,5.1,32,19
58,1,1,1080x2400,166,1,8,128,6.679599185844383,8.35608503102148,3599.0,1,3.0,6.53,64,74
8,1,1,1080x2340,139,1,8,128,5.198497031265826,7.681099001536359,1999.0,1,2.0,5.7,16,14
28,1,1,720x1600,193,0,3,32,6.963189985870238,9.824660771990157,13134.0,1,18.0,6.47,256,13
33,1,1,720x1600,166,0,6,64,5.6240175061873385,6.522092798170152,599.0,5,38.0,3.4,64,14
14,3,0,1080x1920,32,0,4,16,5.700443573390687,7.497207223203318,1659.0,3,36.0,5.0,16,13
60,1,1,1440x3200,68,1,8,256,7.028201432058005,9.856160068128911,13134.0,1,37.0,6.5,256,4
39,1,1,1080x2340,166,1,6,128,5.945420608606575,8.934586870389676,4574.0,167,1.0,6.3,128,23
23,2,0,1080x2340,63,1,6,64,3.2188758248682006,8.041412909393047,4574.0,167,1.0,5.5,64,5
34,1,1,720x1520,63,0,4,32,6.5337888379333435,6.899723107284872,900.0,1,22.0,3.4,16,54
33,1,1,720x1600,193,0,3,32,6.721425700790643,6.52795791762255,598.0,5,48.0,3.4,64,14
103,1,1,720x1560,139,0,6,64,3.9889840465642745,8.366370301681654,4100.0,1,2.0,5.8,32,54
60,1,1,1080x2404,68,0,8,128,7.085901464365611,9.856160068128911,13134.0,1,59.5,5.4,64,1
20,1,0,1080x2520,139,1,6,64,6.464588303689961,7.496097345175956,1678.0,1,39.0,6.0,32,19
28,1,1,720x1560,193,0,4,64,6.96979066990159,9.75004495529255,13134.0,3,18.0,6.1,128,4
34,1,0,1080x2280,139,0,6,64,6.331501849893691,8.757154527656606,5780.0,1,5.0,5.7,64,7
24,1,1,1080x2408,166,0,8,256,6.520621127558696,9.110409533351133,8999.0,1,2.0,6.57,128,13
39,2,0,1440x3088,193,1,8,256,5.241747015059643,8.663887570567042,4574.0,167,1.0,6.2,64,74
1,1,1,1080x2400,166,1,8,128,6.548219102762372,7.231287004327616,1381.0,1,2.0,3.4,64,1
103,1,1,720x1600,193,0,4,32,6.7580945044277305,9.856160068128911,13134.0,1,10.0,6.1,128,23
4,1,1,1080x2340,139,0,8,64,6.481577129276431,6.304448802421981,499.0,3,28.0,3.4,32,6
103,1,1,1440x3168,193,1,8,128,6.80128303447162,9.704792681624228,13134.0,1,16.0,6.5,128,36
39,1,0,1080x2280,139,1,8,256,6.530877627725885,8.486527777105353,4499.0,2,2.0,6.2,64,54
60,1,1,1080x2388,166,0,8,128,6.295266001439646,9.856160068128911,13134.0,1,33.0,5.8,64,3
11,1,1,720x1640,193,0,4,64,6.926577033222725,9.856160068128911,13134.0,3,4.0,6.3,64,3
